throughput_mbps,bytes_per_packet,packet_rate,port_asymmetry,rx_throughput_mbps,utilization,jitter_mbps,burstiness,rx_tx_ratio,tx_error_rate,rx_error_rate,idle_flag,traffic_type
0.049651,1442.0,4.304,0.0,0.04992,0.000497,0.022555,0.959207,1.005409,0.0,0.0,0,ICMP
11.815853,1357.45,1088.0572,0.0,0.0,0.118159,0.863724,0.082141,0.0,0.0,0.0,0,VIDEO
2.215077,242.0,1144.1514,0.0,0.000151,0.022151,0.128901,0.054184,6.8e-05,0.0,0.0,0,GAMING
36.302043,1500.0,249.3636,9.7289,0.119058,0.36302,25.927569,0.715679,0.00328,0.0,0.0,0,HTTP
2.525703,241.94,1304.9256,0.0,0.0,0.025257,0.07591,0.031408,0.0,0.0,0.0,0,GAMING
9.672401,1357.18,890.8542,0.0,0.0,0.096724,3.895065,0.492675,0.0,0.0,0.0,0,VIDEO
71.813156,1500.0,482.7782,11.9145,0.224536,0.718132,29.380719,1.172887,0.003127,0.0,0.0,0,HTTP
0.023967,1094.5,2.7373,25.0,0.023683,0.00024,0.01846,0.730276,0.988122,0.0,0.0,0,ICMP
0.049597,1442.0,4.2993,0.0,0.049776,0.000496,0.021194,0.926109,1.003606,0.0,0.0,0,ICMP
0.043496,1442.0,3.7705,0.0,0.043731,0.000435,0.015457,0.693923,1.005409,0.0,0.0,0,ICMP
2.475703,241.94,1279.0937,0.0,0.0,0.024757,0.067526,0.0279,0.0,0.0,0.0,0,GAMING
2.507985,241.91,1295.936,0.0,0.0,0.02508,0.082697,0.034148,0.0,0.0,0.0,0,GAMING
0.033263,1268.25,3.2784,0.0,0.0,0.000333,0.014309,1.687335,0.0,0.0,0.0,0,ICMP
9.475907,1357.18,872.7559,0.0,0.0,0.094759,4.512977,0.832134,0.0,0.0,0.0,0,VIDEO
2.433596,242.0,1257.0225,0.0,0.000169,0.024336,0.055554,0.022881,6.9e-05,0.0,0.0,0,GAMING
11.116811,1357.17,1023.8977,0.0,0.0,0.111168,0.476408,0.04511,0.0,0.0,0.0,0,VIDEO
2.504869,241.91,1294.3246,0.0,0.0,0.025049,0.091101,0.037141,0.0,0.0,0.0,0,GAMING
33.531637,1500.0,237.6464,9.8976,0.113311,0.335316,28.338502,0.735993,0.003379,0.0,0.0,0,HTTP
0.137939,66.1,260.8668,0.0,42.491792,0.001379,0.081542,0.721039,2.0,0.0,0.0,0,HTTP
0.044258,1295.68,4.2697,10.5263,0.044071,0.000443,0.022196,0.98932,0.995775,0.0,0.0,0,ICMP
0.044109,1260.7,4.3735,13.0435,0.043872,0.000441,0.015672,0.697224,0.99462,0.0,0.0,0,ICMP
10.371572,1357.46,955.0563,0.0,0.0,0.103716,0.218801,0.020693,0.0,0.0,0.0,0,VIDEO
0.043048,1260.7,4.2683,13.0435,0.042817,0.00043,0.02232,0.993575,0.99462,0.0,0.0,0,ICMP
10.635679,1357.44,979.3847,0.0,0.0,0.106357,4.470382,1.525176,0.0,0.0,0.0,0,VIDEO
0.04915,1260.7,4.8733,13.0435,0.048885,0.000491,0.021383,0.910336,0.99462,0.0,0.0,0,ICMP
0.023617,1189.27,2.4823,18.1818,0.023429,0.000236,0.011748,0.982248,0.99205,0.0,0.0,0,ICMP
0.236322,65.99,447.6671,0.0,75.134288,0.002363,0.087392,0.747995,2.0,0.0,0.0,0,HTTP
0.045096,1315.64,4.2847,9.0909,0.044934,0.000451,0.022618,0.988646,0.996407,0.0,0.0,0,ICMP
3.62749,1500.0,41.725,3.6082,0.021506,0.036275,1.570653,1.731626,0.005929,0.0,0.0,0,HTTP
19.671702,1500.0,143.4499,7.1038,0.070563,0.196717,28.513588,0.777311,0.003587,0.0,0.0,0,HTTP
0.027941,1442.0,2.4221,0.0,0.035745,0.000279,0.011485,1.344845,1.279284,0.0,0.0,0,ICMP
3.505018,1350.65,324.3822,0.0,0.001108,0.03505,1.517717,1.732051,0.000316,0.0,0.0,0,VIDEO
9.199567,1358.0,846.7937,0.0,0.000219,0.091996,0.592446,0.058861,2.4e-05,0.0,0.0,0,VIDEO
0.043811,1442.0,3.7978,0.0,0.044061,0.000438,0.021078,0.949388,1.005694,0.0,0.0,0,ICMP
0.0456,1442.0,3.9528,0.0,0.045847,0.000456,0.02152,0.90124,1.005409,0.0,0.0,0,ICMP
10.515582,1358.0,967.9291,0.0,0.000167,0.105156,0.607857,0.057074,1.6e-05,0.0,0.0,0,VIDEO
0.047243,1442.0,4.0953,0.0,0.047498,0.000472,0.023486,1.000034,1.005409,0.0,0.0,0,ICMP
10.652698,1358.0,980.5502,0.0,0.000256,0.106527,0.316713,0.031006,2.4e-05,0.0,0.0,0,VIDEO
0.048609,1315.64,4.6184,9.0909,0.048434,0.000486,0.017671,0.736571,0.996407,0.0,0.0,0,ICMP
0.014257,978.67,1.821,0.0,0.0,0.000143,0.006088,1.640243,0.0,0.0,0.0,0,ICMP
2.432377,242.0,1256.3931,0.0,0.000166,0.024324,0.10472,0.043567,6.8e-05,0.0,0.0,0,GAMING
0.226657,66.0,429.2745,0.0,72.196419,0.002267,0.080671,0.749666,2.0,0.0,0.0,0,HTTP
77.162426,1500.0,500.3831,8.0773,0.242788,0.771624,31.610924,1.160522,0.003146,0.0,0.0,0,HTTP
0.028889,1243.43,2.9042,0.0,0.0,0.000289,0.012414,1.680205,0.0,0.0,0.0,0,ICMP
0.668446,1318.39,63.3772,0.0,0.001404,0.006684,4.404931,0.535055,0.0021,0.0,0.0,0,VIDEO
1.979426,241.59,1024.1625,0.0,0.000899,0.019794,0.857032,1.731366,0.000454,0.0,0.0,0,GAMING
2.502712,241.94,1293.0453,0.0,0.0,0.025027,0.053975,0.022345,0.0,0.0,0.0,0,GAMING
